scored_at,source,year,round,event,race_date,stage,model,git_sha,train_rows,train_base_rate,lookback_races,n,observed_rate,mean_predicted,brier,brier_base,brier_skill,log_loss,roc_auc,pr_auc,top2_hits,top2_lift
2026-09-07T20:53:19+00:00,replay,2018,21,Abu Dhabi Grand Prix,2018-11-25,post_quali,random_forest,42d1601,400,0.1925,40,20,0.25,0.14519,0.196135,0.190806,-0.02793,0.5999,0.56,0.40714,1,2.0
2026-09-07T20:54:01+00:00,replay,2018,21,Abu Dhabi Grand Prix,2018-11-25,pre_weekend,random_forest,42d1601,400,0.1925,40,20,0.25,0.14194,0.196387,0.190806,-0.02925,0.6039,0.61333,0.52714,1,2.0
2026-09-07T20:53:19+00:00,replay,2019,1,Australian Grand Prix,2019-03-17,post_quali,random_forest,42d1601,420,0.19524,40,20,0.15,0.21588,0.130011,0.129546,-0.00358,0.43054,0.56863,0.45644,1,3.333
2026-09-07T20:54:01+00:00,replay,2019,1,Australian Grand Prix,2019-03-17,pre_weekend,random_forest,42d1601,420,0.19524,40,20,0.15,0.22419,0.131117,0.129546,-0.01212,0.43408,0.60784,0.3125,1,3.333
2026-09-07T20:53:19+00:00,replay,2019,2,Bahrain Grand Prix,2019-03-31,post_quali,random_forest,42d1601,440,0.19318,40,20,0.2,0.1825,0.15124,0.160046,0.05502,0.47117,0.79688,0.5,1,2.5
2026-09-07T20:54:01+00:00,replay,2019,2,Bahrain Grand Prix,2019-03-31,pre_weekend,random_forest,42d1601,440,0.19318,40,20,0.2,0.18908,0.149093,0.160046,0.06844,0.46469,0.84375,0.5,1,2.5
2026-09-07T20:53:19+00:00,replay,2019,3,Chinese Grand Prix,2019-04-14,post_quali,random_forest,42d1601,460,0.19348,40,20,0.15,0.15853,0.11985,0.12939,0.07374,0.39223,0.72549,0.32778,0,0.0
2026-09-07T20:54:01+00:00,replay,2019,3,Chinese Grand Prix,2019-04-14,pre_weekend,random_forest,42d1601,460,0.19348,40,20,0.15,0.16035,0.120526,0.12939,0.06851,0.39556,0.72549,0.52137,1,3.333
2026-09-07T20:53:19+00:00,replay,2019,4,Azerbaijan Grand Prix,2019-04-28,post_quali,random_forest,42d1601,480,0.19167,40,20,0.2,0.22981,0.141569,0.160069,0.11558,0.44721,0.78125,0.45833,1,2.5
2026-09-07T20:54:01+00:00,replay,2019,4,Azerbaijan Grand Prix,2019-04-28,pre_weekend,random_forest,42d1601,480,0.19167,40,20,0.2,0.21096,0.140484,0.160069,0.12236,0.44162,0.75,0.39167,0,0.0
2026-09-07T20:53:19+00:00,replay,2019,5,Spanish Grand Prix,2019-05-12,post_quali,random_forest,42d1601,500,0.192,40,20,0.1,0.20717,0.099627,0.098464,-0.01181,0.35024,0.66667,0.32692,1,5.0
2026-09-07T20:54:01+00:00,replay,2019,5,Spanish Grand Prix,2019-05-12,pre_weekend,random_forest,42d1601,500,0.192,40,20,0.1,0.20905,0.099257,0.098464,-0.00805,0.35002,0.69444,0.57692,1,5.0
2026-09-07T20:53:19+00:00,replay,2019,6,Monaco Grand Prix,2019-05-26,post_quali,random_forest,42d1601,520,0.18846,40,20,0.05,0.16167,0.066886,0.066672,-0.00322,0.27863,0.31579,0.07143,0,0.0
2026-09-07T20:54:01+00:00,replay,2019,6,Monaco Grand Prix,2019-05-26,pre_weekend,random_forest,42d1601,520,0.18846,40,20,0.05,0.15979,0.068625,0.066672,-0.02929,0.28867,0.15789,0.05882,0,0.0
2026-09-07T20:53:19+00:00,replay,2019,7,Canadian Grand Prix,2019-06-09,post_quali,random_forest,42d1601,540,0.18333,40,20,0.1,0.17587,0.0887,0.096944,0.08504,0.31992,0.83333,0.39286,1,5.0
2026-09-07T20:54:01+00:00,replay,2019,7,Canadian Grand Prix,2019-06-09,pre_weekend,random_forest,42d1601,540,0.18333,40,20,0.1,0.17898,0.087813,0.096944,0.0942,0.31722,0.86111,0.64286,1,5.0
2026-09-07T20:53:19+00:00,replay,2019,8,French Grand Prix,2019-06-23,post_quali,random_forest,42d1601,560,0.18036,40,20,0.05,0.17541,0.060626,0.064493,0.05995,0.25175,0.84211,0.25,0,0.0
